created_at,mac,rssi,interface
2022-04-06 12:09:00.650607,D8:01:00:07:6B:5C,-80,ESP32_1
2022-04-06 12:09:00.658819,D8:01:00:07:6B:5C,-88,ESP32_3
2022-04-06 12:09:01.803609,D8:01:00:07:6B:5C,-98,ESP32_5
2022-04-06 12:09:02.823922,DC:2C:6E:18:84:EB,-67,ESP32_1
2022-04-06 12:09:03.180120,D8:01:00:07:6B:5C,-75,ESP32_1
2022-04-06 12:09:03.708578,DC:2C:6E:18:84:EB,-93,ESP32_3
2022-04-06 12:09:03.711727,DC:2C:6E:18:84:EB,-92,ESP32_6
2022-04-06 12:09:04.468091,D8:01:00:07:6B:5C,-92,ESP32_7
2022-04-06 12:09:05.973164,D8:01:00:07:6B:5C,-90,ESP32_2
2022-04-06 12:09:06.268969,DF:99:1C:50:22:47,-96,ESP32_6
2022-04-06 12:09:07.121901,D8:01:00:07:6B:5C,-83,ESP32_1
2022-04-06 12:09:07.823485,DC:2C:6E:18:84:EB,-90,ESP32_6
2022-04-06 12:09:07.858856,DC:2C:6E:18:84:EB,-64,ESP32_1
2022-04-06 12:09:08.079264,DC:2C:6E:18:84:EB,-92,ESP32_3
2022-04-06 12:09:08.342679,D8:01:00:07:6B:5C,-90,ESP32_2
2022-04-06 12:09:08.464010,D8:01:00:07:6B:5C,-88,ESP32_5
2022-04-06 12:09:08.833563,DF:99:1C:50:22:47,-93,ESP32_6
2022-04-06 12:09:09.118673,DF:99:1C:50:22:47,-71,ESP32_1
2022-04-06 12:09:09.844458,DC:2C:6E:18:84:EB,-68,ESP32_1
2022-04-06 12:09:10.743483,DC:2C:6E:18:84:EB,-68,ESP32_1
2022-04-06 12:09:11.671747,DF:99:1C:50:22:47,-75,ESP32_1
2022-04-06 12:09:12.035846,DC:2C:6E:18:84:EB,-94,ESP32_2
2022-04-06 12:09:12.346470,D8:01:00:07:6B:5C,-84,ESP32_2
2022-04-06 12:09:12.800131,DC:2C:6E:18:84:EB,-66,ESP32_1
2022-04-06 12:09:13.101767,DC:2C:6E:18:84:EB,-89,ESP32_3
2022-04-06 12:09:14.927174,DC:2C:6E:18:84:EB,-95,ESP32_7
2022-04-06 12:09:16.166469,D8:01:00:07:6B:5C,-76,ESP32_1
2022-04-06 12:09:16.532712,DF:99:1C:50:22:47,-97,ESP32_7
2022-04-06 12:09:20.784317,DC:2C:6E:18:84:EB,-67,ESP32_1
2022-04-06 12:09:21.122224,D8:01:00:07:6B:5C,-96,ESP32_7
2022-04-06 12:09:23.788647,DC:2C:6E:18:84:EB,-98,ESP32_5
2022-04-06 12:09:24.357364,DF:99:1C:50:22:47,-68,ESP32_1
