id,id_external,interface,ssid,mac,tx_rate,rx_rate,rx_signal,uptime,packets,bytes,tx_rate_set,created_at
18497302,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,36Mbps,117Mbps-20MHz/2S,-69,1m53s20ms,"44,72","10083,18495","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:09:02.152820
18497310,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,86.6Mbps-20MHz/1S/SGI,173.3Mbps-20MHz/2S/SGI,-64,5m44s580ms,"1860,1832","520197,353166","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:09:02.208273
18497354,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,86.6Mbps-20MHz/1S/SGI,173.3Mbps-20MHz/2S/SGI,-64,5m54s580ms,"1877,1861","523266,364391","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:09:12.110902
18497387,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,36Mbps,117Mbps-20MHz/2S,-69,2m3s20ms,"44,72","10083,18495","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:09:12.382716
18497419,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,86.6Mbps-20MHz/1S/SGI,144.4Mbps-20MHz/2S/SGI,-64,6m4s580ms,"1896,1883","524898,366173","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:09:21.931376
18497440,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,36Mbps,104Mbps-20MHz/2S,-70,2m13s20ms,"46,76","11146,19271","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:09:22.021716
18497496,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,36Mbps,24Mbps,-69,2m23s20ms,"48,78","11258,19355","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:09:31.881130
18497510,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,86.6Mbps-20MHz/1S/SGI,173.3Mbps-20MHz/2S/SGI,-64,6m14s580ms,"1943,1931","534398,378269","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:09:31.954723
18497565,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,36Mbps,24Mbps,-69,2m33s20ms,"48,78","11258,19355","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:09:41.998274
18497584,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,86.6Mbps-20MHz/1S/SGI,173.3Mbps-20MHz/2S/SGI,-64,6m24s580ms,"1959,1952","535876,380385","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:09:42.048756
